idx,caption,gt_img_idx,pred_img_idx,category,ambiguous_subtype
325,"Three teddy bears, each a different color, snuggling together.",65,1150,Ambiguous,missing_info
1162,some people in a kitchen preparing food on a counter,232,2467,Ambiguous,
1239,A pair of friends sit beneath a massive blue umbrella.,247,3814,Object,
1412,A white toilet sitting up against a wall.,282,3796,Attribute,
1482,A train rides on a bridge past a building.,296,1653,Object,
4061,A tennis player jumps and stretches to return the ball.,812,146,Action,
4376,A person lies down along the lines in a parking space.,875,592,Object,
4765,Large clock tower sitting in front of a park. ,953,3352,Ambiguous,near_duplicate
4781,A white plate containing various pastries on a wooden table.,956,1820,Count,
5186,Engine and train stopped at an indoor platform.,1037,3789,Ambiguous,near_duplicate
6552,A view of a modern building with skylight and a fire hydrant.,1310,2949,Attribute,
7245,A zebra in the grass who is cleaning himself. ,1449,1713,Action,
7416,A small dog trying to grab a frisbee from someone,1483,1041,Object,
9191,Adults enjoying game of badminton on grassy field.,1838,1967,Object,
9971,A kitchen with wooden furniture and a vase filled with red flowers.,1994,1238,Object,
10128,Doorway view into a bathroom with a sink and toilet.,2025,2913,Object,
10226,A lady eating a hot dog with one bite taken from it.,2045,1142,Action,
10332,A grassy hill side with some animals in the distance ,2066,595,Context,
10772,A woman carrying a suit case and losing her balance.,2154,1273,Action,
11360,A red brick building with a graffiti covered front.,2272,1098,Ambiguous,near_duplicate
12819,Snowboarder going down a slope with trees in the background,2563,1675,Attribute,
12945,A motorcycle and people looking a travel vehicles.,2589,4846,Object,
12957,a keyboard an orange and white cat a desk and a monitor,2591,1936,Ambiguous,near_duplicate
15711,An empty kitchen is photographed as if for a real estate listing.,3142,4093,Ambiguous,near_duplicate
15883,Two elephants wrapping their trunks together in a field.,3176,3554,Ambiguous,near_duplicate
19768,A large bunch of bananas  hangs from a tree.,3953,2265,Object,
19873,A baseball player swinging a bat a a baseball.,3974,3171,Object,
19917,A man taking a photo with his right hand and eating food with his left hand.,3983,4655,Action,
21157,A man is talking on the phone while working on the computer.,4231,3410,Object,
23846,a black and white photo of a clock,4769,556,Ambiguous,near_duplicate
