idx,caption,gt_img_idx,pred_img_idx,category,ambiguous_subtype,__source_file,category_clean,ambiguous_subtype_clean
1500,A desk with both a laptop computer and a desktop computer.,300,602,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
2052,"A clock tower stands near a road, trees, and houses. ",410,1546,Object,,assign_A.csv,Object,
2146,Several old boats sitting in an old ship yard.,429,155,Attribute,,assign_A.csv,Attribute,
2653,a man that is holding some kind of radio ,530,53,Object,,assign_A.csv,Object,
3117,the bathroom has a mirror and a tiled sink,623,3266,Object,,assign_A.csv,Object,
3270,a tennis player swings his tennis racket ,654,3203,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
3361,The two teams are kicking a soccer ball.,672,1149,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
3684,A woman holding a smart phone in a room.,736,1427,Ambiguous,nearduplicate,assign_A.csv,Ambiguous,nearduplicate
3720,An assortment of fruits and vegetable all set together,744,2831,Context,,assign_A.csv,Context,
4340,A woman holding a tennis racket in her hand,868,1577,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
4502,A close up picture of someone preparing a sandwich.,900,491,Context,,assign_A.csv,Context,
4701,A smiling man is wearing a hot pink tie.,940,3239,Attribute,,assign_A.csv,Attribute,
5844,Three Zebra's eating grass as they walk. ,1168,3233,Count,,assign_A.csv,Count,
7550,A large clock tower is yellow and white.,1510,3352,Attribute,,assign_A.csv,Attribute,
7577,A hotel suite with a desk sofa and bed,1515,1185,Object,,assign_A.csv,Object,
7923,A bird that is sitting on a rock near the water.,1584,1362,Object,,assign_A.csv,Object,
8908,Well decorated bathroom in a small yellow tinted area.,1781,4176,Attribute,,assign_A.csv,Attribute,
9695,An image of a hotel bathroom that is ugly.,1939,2652,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
9765,People are having fun on a crowded beach.,1953,4808,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
9845,a black and white cat wearing a little purple hat,1969,4014,Object,,assign_A.csv,Object,
10176,People are eating pizza and drinking soda at a table. ,2035,4151,Ambiguous,underspecified,assign_A.csv,Ambiguous,underspecified
10548,A man pulling a slice of pizza away from a pizza.,2109,3983,Action,,assign_A.csv,Action,
10616,A large blue bus is driving down a crowded street.,2123,2597,Attribute,,assign_A.csv,Attribute,
10779,a white vase with yellow tulips against a grey background,2155,2820,Attribute,,assign_A.csv,Attribute,
11356,A woman is sitting on an old wooden bench.,2271,787,Action,,assign_A.csv,Action,
12354,A line of motorcycles backed in and parked in a line at the edge of a sidewalk.,2470,2108,Object,,assign_A.csv,Object,
12462,A man is lifting a dumbbell weight with one hand.,2492,53,Object,,assign_A.csv,Object,
12501,Passenger train stopped on the track under a bridge.,2500,3652,Action,,assign_A.csv,Action,
12585,A giraffe standing under a leaf filled tree.,2517,2594,Ambiguous,nearduplicate,assign_A.csv,Ambiguous,nearduplicate
