idx,caption,gt_img_idx,pred_img_idx,category,ambiguous_subtype
1500,A desk with both a laptop computer and a desktop computer.,300,602,Ambiguous,underspecified
2052,"A clock tower stands near a road, trees, and houses. ",410,1546,Object,
2146,Several old boats sitting in an old ship yard.,429,155,Attribute,
2653,a man that is holding some kind of radio ,530,53,Object,
3117,the bathroom has a mirror and a tiled sink,623,3266,Object,
3270,a tennis player swings his tennis racket ,654,3203,Ambiguous,underspecified
3361,The two teams are kicking a soccer ball.,672,1149,Ambiguous,underspecified
3684,A woman holding a smart phone in a room.,736,1427,Ambiguous,nearduplicate
3720,An assortment of fruits and vegetable all set together,744,2831,Context,
4340,A woman holding a tennis racket in her hand,868,1577,Ambiguous,underspecified
4502,A close up picture of someone preparing a sandwich.,900,491,Context,
4701,A smiling man is wearing a hot pink tie.,940,3239,Attribute,
5844,Three Zebra's eating grass as they walk. ,1168,3233,Count,
7550,A large clock tower is yellow and white.,1510,3352,Attribute,
7577,A hotel suite with a desk sofa and bed,1515,1185,Object,
7923,A bird that is sitting on a rock near the water.,1584,1362,Object,
8908,Well decorated bathroom in a small yellow tinted area.,1781,4176,Attribute,
9695,An image of a hotel bathroom that is ugly.,1939,2652,Ambiguous,underspecified
9765,People are having fun on a crowded beach.,1953,4808,Ambiguous,underspecified
9845,a black and white cat wearing a little purple hat,1969,4014,Object,
10176,People are eating pizza and drinking soda at a table. ,2035,4151,Ambiguous,underspecified
10548,A man pulling a slice of pizza away from a pizza.,2109,3983,Action,
10616,A large blue bus is driving down a crowded street.,2123,2597,Attribute,
10779,a white vase with yellow tulips against a grey background,2155,2820,Attribute,
11356,A woman is sitting on an old wooden bench.,2271,787,Action,
12354,A line of motorcycles backed in and parked in a line at the edge of a sidewalk.,2470,2108,Object,
12462,A man is lifting a dumbbell weight with one hand.,2492,53,Object,
12501,Passenger train stopped on the track under a bridge.,2500,3652,Action,
12585,A giraffe standing under a leaf filled tree.,2517,2594,Ambiguous,nearduplicate
12947,a motorcycle with a boot on the back wheel,2589,1669,Object,
13499,an image of clock that is on the wall,2699,1617,Ambiguous,underspecified
13651,There is a street sign on a pole on the side of a snowy highway.,2730,4516,Ambiguous,underspecified
14658,A photo of a man doing a trick on his skateboard.,2931,3605,Ambiguous,nearduplicate
14696,A person riding a snowboard down a snowy slope.,2939,56,Ambiguous,nearduplicate
15101,Several motorcycles are parked on the green grass.,3020,3333,Ambiguous,nearduplicate
16048,Horses and bikes are traveling down a track.,3209,1601,Context,
16582,A yellow and white train passing by multiple rows of tracks.,3316,877,Ambiguous,underspecified
16766,there are two woman and a man riding on a elephant,3353,2945,Ambiguous,nearduplicate
16891,Groups of people seated under shade umbrellas at blue tables and chairs drinking beverages.,3378,1862,Attribute,
17042,A man at a food truck viewing the menu.,3408,1629,Object,
17295,A group of people playing a game of baseball on a field.,3459,3890,Ambiguous,underspecified
17674,The side of a buss with a sign on it.,3534,4408,Context,
17719,A patio umbrella pointed inside out over a picnic table.,3543,2579,Attribute,
17741,A woman stands next to a traffic light.,3548,3423,Object,
17747,A tennis player has their racquet raised in the air.,3549,610,Action,
18794,People are windsurfing near a beach on a cloudy day.,3758,185,Action,
21346,A little girl looking at a pizza pie,4269,4576,Action,
21641,A small bird sitting on a chair by a table.,4328,3738,Object,
21776,a window with rain drops on it looking at a street light ,4355,2489,Object,
23556,A dog sits in the front seat of a jeep. ,4711,4160,Object,
